"","SHOT_NUMBER","PERIOD","GAME_CLOCK","SHOT_CLOCK","DRIBBLES","TOUCH_TIME","SHOT_RESULT","CLOSE_DEF_DIST","MINUTES_REMAINING","SECONDS_REMAINING","ACTION_TYPE","SHOT_TYPE","SHOT_ZONE_BASIC","SHOT_ZONE_AREA","SHOT_ZONE_RANGE","SHOT_DISTANCE","LOC_X","LOC_Y","DEFENDER_POSITION","DEFENDER_HEIGHT","DEFENDER_WEIGHT","DEFENDER_AGE","DEFENDER_EXPERIENCE"
"401",19,"3",471,20.5,1,1.3,"made",2.4,7,49,"Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.",1,0,-19,"G-F",79,220,26,4
"402",4,"1",317,10.2,8,10.1,"made",4.6,5,14,"Turnaround Jump Shot","2PT Field Goal","Mid-Range","Left Side(L)","8-16 ft.",13,-120,53,"G-F",79,220,26,4
"403",17,"3",678,18.5,6,4.4,"missed",3.2,11,15,"Fadeaway Jump Shot","2PT Field Goal","Mid-Range","Left Side(L)","8-16 ft.",11,-117,4,"G-F",79,220,26,4
"404",3,"1",474,19.7,9,6.7,"made",0,7,52,"Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.",1,9,7,"G-F",79,220,26,4
"405",2,"1",597,8.2,2,4.9,"missed",3.3,9,54,"Fadeaway Jump Shot","2PT Field Goal","Mid-Range","Left Side(L)","8-16 ft.",14,-144,31,"G-F",79,220,26,4
"406",20,"3",444,18.6,0,1,"missed",6.7,7,22,"Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.",2,-2,22,"G-F",79,220,26,4
"407",22,"3",331,14.4,9,9.3,"missed",1.3,5,27,"Jump Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.",3,-29,12,"G-F",79,220,26,4
"408",6,"1",115,20.2,3,2.5,"made",3.1,1,51,"Fadeaway Jump Shot","2PT Field Goal","Mid-Range","Right Side(R)","8-16 ft.",12,125,9,"G-F",79,220,26,4
"409",27,"4",72,13.7,9,9.6,"made",2.4,1,11,"Driving Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.",0,1,1,"G-F",79,220,26,4
"410",3,"1",320,9,0,4.8,"missed",5,5,17,"Jump Shot","3PT Field Goal","Above the Break 3","Right Side Center(RC)","24+ ft.",25,217,131,"F",82,262,23,4
"411",4,"1",276,19.1,5,5.8,"made",1.8,4,35,"Driving Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.",0,-8,0,"F",82,262,23,4
"412",5,"1",320,7.2,0,1,"missed",7.7,5,17,"Jump Shot","3PT Field Goal","Above the Break 3","Right Side Center(RC)","24+ ft.",24,108,224,"F",79,215,27,4
"413",13,"3",536,14,8,6.8,"made",2.8,1,18,"Jump Shot","3PT Field Goal","Above the Break 3","Right Side Center(RC)","24+ ft.",24,102,225,"F",79,215,27,4
"414",1,"1",646,6.9,0,2.5,"missed",5.1,10,43,"Jump Shot","3PT Field Goal","Above the Break 3","Center(C)","24+ ft.",28,-5,285,"F",79,215,27,4
"415",23,"4",51,4.4,17,17.5,"missed",5.1,0,20,"Driving Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.",1,0,12,"F",79,215,27,4
"416",10,"2",5,5,17,19.1,"missed",3.5,0,3,"Jump Shot","3PT Field Goal","Above the Break 3","Right Side Center(RC)","24+ ft.",24,144,195,"F",79,215,27,4
"417",14,"4",651,14.8,9,8.8,"made",3.2,10,49,"Driving Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.",0,4,0,"C",83,270,24,4
"418",7,"1",68,17.4,5,5.4,"made",6,1,6,"Driving Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.",0,1,1,"FC",83,250,25,4
"419",3,"1",464,6,3,3,"missed",0,7,42,"Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.",6,65,25,"FC",83,250,25,4
"420",23,"4",475,18.9,3,5.7,"made",1.8,7,51,"Driving Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.",0,0,6,"FC",83,250,25,4
"421",10,"2",30,17.5,13,6.4,"missed",4,0,21,"Jump Shot","3PT Field Goal","Above the Break 3","Right Side Center(RC)","24+ ft.",25,223,127,"F",80,225,25,4
"422",17,"4",29,20.9,2,3.1,"missed",0.7,0,27,"Jump Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.",3,-32,15,"F",80,225,25,4
"423",2,"1",470,16,2,2.9,"missed",4.6,7,47,"Jump Shot","2PT Field Goal","Mid-Range","Left Side(L)","8-16 ft.",15,-95,127,"F",80,225,25,4
"424",9,"2",76,10.6,1,6.2,"missed",4.1,1,13,"Jump Shot","2PT Field Goal","Mid-Range","Left Side Center(LC)","16-24 ft.",19,-64,189,"F",80,225,25,4
"425",3,"1",385,9.2,0,0.7,"made",2.2,6,22,"Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.",1,-15,4,"F",80,225,25,4
"426",14,"4",515,2.4,5,4.3,"missed",1.5,8,32,"Running Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Center(C)","Less Than 8 ft.",6,-49,44,"F",80,225,25,4
"427",8,"2",88,21,4,4.2,"missed",4.2,1,26,"Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.",0,-4,-5,"F",80,225,25,4
"428",7,"2",374,15.7,0,0,"made",1.3,6,8,"Layup Shot","2PT Field Goal","Restricted Area","Center(C)","Less Than 8 ft.",1,9,15,"F",81,235,26,4
